maker,name,price
ECS イーシーエス,LIVAQ1D-4/64-W10Pro（N3350） [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 Pro 64bit/ブラック],"￥31,090"
ECS イーシーエス,LIVAZ-8/256-W10Pro（N4200） [Windows 10 Pro搭載 小型デスクトップパソコン],"￥50,700"
アイ･オー･データ機器 I-O DATA,MPC-LVZ3P [CPU N3350Intel Core i3-10110U/メモリー 8GB/ストレージ 256GB/OS Windows10 IoT Enterprise 2019],"￥98,780"
ECS イーシーエス,LIVAZ3P-4/128-W10Pro（i3-10110U） [LIVA Z3 Plus / メモリ4GB / SSD128GB / Core i3-10110U / Windows 10 Pro],"￥88,670"
ミニズフォーラム MINISFORUM,UM320-8/256-W10Pro（3200U） [小型デスクトップパソコン Ryzen 3 3200U/メモリ 8GB/ストレージ 256GB/Windows 10 Pro],"￥46,780"
マウスコンピューター mouse computer,PCMI117G307H21J [ゲーミングデスクトップパソコン/Corei7-11700/16GB/SSD 512GB （NVMe）/HDD 2TB/GeForce RTX 3070/DVDスーパーマルチドライブ/Windows10 Home 64bit],"￥299,800"
ECS イーシーエス,LIVAQ1D-4/64-W10（N3350） IOT [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 IoT Enterprise LTSC 64bit/ブラック],"￥33,110"
,【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM N40-4/64-W10Pro（N4020） 小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB＋ウイルスバスター クラウド 3年版],"￥34,190"
レノボ･ジャパン Lenovo,90RW002RJP [ゲーミングデスクトップパソコン IdeaCentre Gaming 560/AMD Ryzen7 5700Gプロセッサー/NVIDIA GeForce RTX 3060/SSD 1TB/メモリ 16GB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ブラック],"￥221,980"
ECS イーシーエス,LIVAZ-4/64-W10Pro(N3350) [Windows 10 Pro搭載 小型デスクトップパソコン メモリ4GB/ストレージ64GBモデル],"￥32,000"
レノボ･ジャパン Lenovo,F0G10047JP [IdeaCentre AIO360/23.8型/AMD Ryzen 3 5300U プロセッサー/メモリ8GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ブラック],"￥123,190"
レノボ･ジャパン Lenovo,F0E50030JP [一体型デスクトップ Yoga A940 core i7-9700 27型 メモリー16GB HDD 2TB 、Optaneメモリー16GB Windows 10 Pro 64bit 日本語版 Microsoft Office Home&Business2019 アイアングレー],"￥302,500"
ミニズフォーラム MINISFORUM,HM80-16/512-W10Pro（4800U） [小型デスクトップパソコン/CPU：AMD Ryzen 7 4800U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB/OS：Windows 10 Pro 64bit],"￥109,780"
ECS イーシーエス,LIVAZ-4/64-W10Pro(N4200) [Windows 10 Pro搭載 ファンレス仕様 小型デスクトップパソコン],"￥37,560"
MSI エムエスアイ,TRIDENT-X-12VTD-051JP [ゲーミングデスクトップパソコン/Core i7-12700K/メモリ 32GB/SSD 1TB＋HDD 1TB/Windows 11 Pro],"￥350,000"
ASUS エイスース,PB62-B5274AH [デスクトップミニパソコン ASUS Mini PC PB62/Core i5-11400/メモリ 8GB/SSD 256GB/Windows 11 home/ブラック],"￥96,800"
ASUS エイスース,VC66-C2B5204AN [デスクトップミニパソコン ASUS Mini PC VC66-C2/Core i5-10400/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥114,800"
